"filename", "language", "Dart", "comment", "blank", "total"
"/media/anishs/restore/college/minor/ekhata/lib/bloc/auth_bloc.dart", "Dart", 57, 1, 4, 62
"/media/anishs/restore/college/minor/ekhata/lib/bloc/auth_event.dart", "Dart", 5, 0, 3, 8
"/media/anishs/restore/college/minor/ekhata/lib/bloc/auth_state.dart", "Dart", 14, 2, 8, 24
"/media/anishs/restore/college/minor/ekhata/lib/env/env.dart", "Dart", 1, 0, 1, 2
"/media/anishs/restore/college/minor/ekhata/lib/main.dart", "Dart", 15, 0, 4, 19
"/media/anishs/restore/college/minor/ekhata/lib/model/user.dart", "Dart", 9, 0, 2, 11
"/media/anishs/restore/college/minor/ekhata/lib/screens/dashboard.dart", "Dart", 182, 0, 16, 198
"/media/anishs/restore/college/minor/ekhata/lib/screens/friend/friend.dart", "Dart", 195, 1, 17, 213
"/media/anishs/restore/college/minor/ekhata/lib/screens/friend/friend_view.dart", "Dart", 88, 1, 5, 94
"/media/anishs/restore/college/minor/ekhata/lib/screens/friend/friends_list.dart", "Dart", 117, 27, 7, 151
"/media/anishs/restore/college/minor/ekhata/lib/screens/friend/received_requests.dart", "Dart", 160, 0, 9, 169
"/media/anishs/restore/college/minor/ekhata/lib/screens/friend/sent_requests.dart", "Dart", 173, 0, 8, 181
"/media/anishs/restore/college/minor/ekhata/lib/screens/home.dart", "Dart", 62, 0, 6, 68
"/media/anishs/restore/college/minor/ekhata/lib/screens/logged_view.dart", "Dart", 91, 4, 8, 103
"/media/anishs/restore/college/minor/ekhata/lib/screens/transaction/add_transaction.dart", "Dart", 161, 2, 14, 177
"/media/anishs/restore/college/minor/ekhata/lib/screens/transaction/transactions_list.dart", "Dart", 183, 3, 13, 199
"/media/anishs/restore/college/minor/ekhata/lib/screens/user/bloc/login_bloc.dart", "Dart", 36, 0, 3, 39
"/media/anishs/restore/college/minor/ekhata/lib/screens/user/bloc/login_event.dart", "Dart", 34, 0, 10, 44
"/media/anishs/restore/college/minor/ekhata/lib/screens/user/bloc/login_state.dart", "Dart", 23, 0, 10, 33
"/media/anishs/restore/college/minor/ekhata/lib/screens/user/login.dart", "Dart", 125, 0, 13, 138
"/media/anishs/restore/college/minor/ekhata/lib/screens/user/profile.dart", "Dart", 71, 1, 6, 78
"/media/anishs/restore/college/minor/ekhata/lib/screens/user/register.dart", "Dart", 179, 0, 16, 195
"/media/anishs/restore/college/minor/ekhata/lib/services/auth_service.dart", "Dart", 69, 1, 4, 74
"/media/anishs/restore/college/minor/ekhata/lib/services/friend_service.dart", "Dart", 69, 0, 6, 75
"/media/anishs/restore/college/minor/ekhata/lib/services/http_service.dart", "Dart", 38, 0, 3, 41
"/media/anishs/restore/college/minor/ekhata/lib/services/storage_service.dart", "Dart", 24, 1, 6, 31
"Total", "-", 2181, 44, 202, 2427
